EcosystemType,Paper,TimesMentioned,Reviewer,PaperType,PeerReview,Nation,OceanRegion,ResilienceCat,ResilienceOutcome,ResilienceResponse,GivenDefinitionResilience,ResilienceDefinition,StudyLength,DISTURBANCE COMPILED,DisturbType1,DisturbLength1,DisturbType2,DisturbLength2,DisturbancePeriodDescription,DisturbYRstart,DisturbYRend,RecoveryTime,FactorsContributingResilience,MostImportantFactor1,MostImportFactor2,FactorsPreventingResilience1,FactorsPreventingResilience2,Comments,prevResRE,prevRes2RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Hughes TP: Catastrophes, Phase Shifts, and Large-Scale Degradation of a Caribbean Coral Reef. 1994.",1,Charlie,Empirical,Yes,Jamaica,Caribbean,Recovery,No,HabitatFormingSpp,,,11-20 yrs,Storms,Storms,Multiple scales,Habitat degradation,,"1980 Hurricane Allen, 1982 -1984",,,,species shift; winners and losers,Adequate recruitment/connectivity,Conservation and magement measures,Additional local anthropogenic stressors,,Some resistence of coral persistence is described--especially the deeper (>10m depth) living species. Not a good example of resilience but a great example of coral-algal phase shift.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"De'ath G, Fabricius KE, Sweatman H, Puotinen M: The 27-year decline of coral cover on the Great Barrier Reef and its causes. Proc tl Acad Sci U S A 2012, 109:17995-17999.",1,Jennifer,Empirical,Yes,Australia,Coral Sea,Recovery,No,HabitatFormingSpp,,No,decades (21-100 yrs),>2 stressors,>2 stressors,Ongoing,,,ongoing,,,,None,,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",Other,"Other = COTS, Storms, bleaching, pollution (nutrients). Loss of corals could be greatly reduced simply by reducing COTS. Now, corals declining 2.9%/year. Removal of COTS would reduct to 0.89%/year. Acute storm disturbances increasing (as in Caribbean). Rates of coral calcification have declined.",Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Adjeroud et al. Coral Reefs 2009,2,Jennifer,Empirical,Yes,Moorea,South Pacific,Recovery,Yes,HabitatFormingSpp,N/A,No,decades (21-100 yrs),Temperature,Temperature,months (<1 yr),,,1991,1991,1991,6-10 yrs,"Grazing prevented colonization of open space by turfs, shift in coral assemblage",Beneficial species interactions,Adequate recruitment/connectivity,,,"Papers shows rapid recovery of coral cover following a major thermal stress in 1991, a cyclone in 1992 (and 3 thermal anomalies after that - though they had minil effects). Coral composition shifted. Acropora and Porites recovered while Pocillopora and Montipora did not. Factors relating to recovery are vague - but grazing to prevent turf domince (and possibly coral recruitment) are mentioned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Guzman and Cortez 2007 Reef recovery 20 years after the 1982-83 El Nino,1,Jennifer,Empirical,Yes,Costa Rica,Pacific,Recovery,Yes,HabitatFormingSpp,,No,11-20 yrs,Temperature,Temperature,months (<1 yr),,months (<1 yr),"1983, 1987, 1993, 1998",1983,1998,11-20 yrs,"recruitment, growth, partial survival of some colonies, absence of bioeroding grazers (urchins, COTS)",Adequate recruitment/connectivity,Adequate remaining biogenic habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Bayraktarov 2013, PLoS One",1,Jennifer,Empirical,Yes,Columbia,Caribbean,Recovery,Yes,HabitatFormingSpp,,No,1-5 yrs,Temperature,Temperature,months (<1 yr),,,2010-2011,2010,2011,months (<1 yr),Water current exposure (1 sites),Physical setting,,Other,,same temp at sites. faveolata and O. franksi bleached at sheltered. M. cavernosa and D. labyrinthiformis bleached at exposed. Other = sheltered bay at 1 site.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Linares 2011 MEPS,1,Jennifer,Empirical,Yes,Australia,Coral Sea,Recovery,Yes,HabitatFormingSpp,,No,1-5 yrs,Temperature,Temperature,,,,2001-2002,2001,2002,6-10 yrs,,Adequate remaining biogenic habitat,Adequate recruitment/connectivity,Other,,Other for factors preventing = timing of disturbance (if too close together),Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Halford et al 2004 Ecology,1,Jennifer,Empirical,Yes,Australia,Coral Sea,Recovery,Yes,HabitatFormingSpp,"A system can be considered stable in the face of a
disturbance if (1) it retains a similar structure (""resistance"")
or (2) it returns to a similar pre-disturbance
structure after an initial deviation (""resilience""; Connell
and Sousa 1983).",Yes,11-20 yrs,Storms,Storms,1-5 yrs,,,1987-1989 dramatic loss of corals,1987,1989,6-10 yrs,"recruitment from nearby undamaged reefs, fast coral growth",Adequate recruitment/connectivity,Adequate remaining biogenic habitat,,,Local devastation of parts of reefs is buffered at a metapopluation level by connectivity within and between reefs; effects of disturbance biased toward sessile organisms rather than fish because of ease of counting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Sheppard et al. 2008 MEPS,3,Nick,Empirical,Yes,British Indian Ocean Territory,Indian Ocean,Recovery,Yes,HabitatFormingSpp,,,decades (21-100 yrs),Temperature,Temperature,1-4 weeks (<1 month),,,1978-2006,,,11-20 yrs,"Isolation from chronic human impacts, coral recruitment and growth of fast growing corals.",Remoteness/low accessibility by humans,,,,"This is an isolated atoll system, with little direct human impact. Recovery has been rapid since the 1998 coral bleaching event. A followup paper from this one (Sheppard et al. 2012 Aquatic Conservation) continues the time series to 2010, showing full coral cover revoery. Continued coral recruitment and growth of fast growing species appear important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Gilmour et al. Science 2013,6,Nick,Empirical,Yes,Australia,Indian Ocean,Recovery,Yes,HabitatFormingSpp,,,11-20 yrs,Temperature,Temperature,1-4 weeks (<1 month),,,1996-2010,,,11-20 yrs,"Growth and survival of remnt corals, followed by recruitment. Isolation from chrionic human pressures.",Remoteness/low accessibility by humans,Adequate remaining biogenic habitat,,,"System severly damaged by bleaching in 1998. Coral recruitment low for first 6 years , but picked up following growth of surviving remnts of adult corals. Authors argue isolation from chronic human impacts important for recovery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Idjadi.etal.2006,2,Robin,Empirical,Yes,Jamaica,Caribbean Sea,Recovery,Yes,HabitatFormingSpp,,No,6-10 yrs,Storms,Storms,hours-days (<1 week),>2 stressors,decades (21-100 yrs),"1980 Hurricane Allen, Diadema mortality, overfishing, pollution",1980,,decades (21-100 yrs),,Adequate remaining biogenic habitat,Beneficial species interactions,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",Additional global climatic stressors,,Chronic biotic stressors,Global stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Proisy, Continental Shelf Research, 2009",1,Paul,Empirical,Yes,French Guiana,Atlantic,Recovery,Yes,HabitatFormingSpp,,,1-5 yrs,non climatic (erosion),non climatic (erosion),months (<1 yr),,,1996,,,1-5 yrs,Tidal emersion and resulting mud cracking via dessication,Physical setting,,,,"Study points out that though dessication/emersion of mud flats might traditiolly be thought to be a barrier to mangrove recolonization of a distrubed area, cracks fromed in mud via dessication in fact provide an important opportunistic colonization pathway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Ferwerda, JG, Hydrobiologia, 2007 Differences in regeneration between hurricane damaged and clear-cut mangrove stands 25 years after clearing",1,talie,Empirical,Yes,Australia,Pacific,Recovery,Yes,HabitatFormingSpp,,,decades (21-100 yrs),Storms,Storms,hours-days (<1 week),Other,hours-days (<1 week),"1974 (hurricane), 1969 (clear-cutting)",,,11-20 yrs,"Presence of juvenile trees/saplings, possibly propagules post-disturbance, tide height at time of disturbance (which influences survival of juveniles/saplings)",Adequate remaining biogenic habitat,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,This was a comparison between hurricane-damaged vs. clear-cut site,Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,[Restoration Ecology 2000] Imbert et al 2000 Ecology of Mangrove Growth and Recovery in the Lesser Antilles,1,talie,Empirical,Yes,Lesser Antilles,Caribbean/Atlantic,Recovery,Yes,HabitatFormingSpp,,,6-10 yrs,Storms,Storms,hours-days (<1 week),,,1989,,,6-10 yrs,"Presence of understory seedlings established before disturbance, distance from coast",Physical setting,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,"Distance from coast correlated with lower density of understory seedlings, but faster growth and also higher (density independent) mortality rates",Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Ward, 2006, Hydrobiologia Regiol processes in mangrove ecosystems: spatial scaling relationships, biomass, and turnover rates following catastrophic disturbance",1,talie,Empirical,Yes,United States,Caribbean/Atlantic,Recovery,Yes,HabitatFormingSpp,,,11-20 yrs,Storms,Storms,hours-days (<1 week),,,1992,,,11-20 yrs,increased recruitment following gap formation (gap-phase dymics),,,,,Study investigated size-structure and turnover rates of forests during recovery. Specific factors leading to recovery were less clear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Munroe.etal.2013a,1,Robin,Empirical,Yes,United States,Delaware Bay,Recovery,No,HabitatFormingSpp,,No,6-10 yrs,Storms,Storms,months (<1 yr),Salinity,months (<1 yr),August - September 2011,2011,2011,Ongoing,Size (large mussels most vulnerable) and location (upbay sites were more exposed to low salinity),Physical setting,,Other,,This paper combines oceanographic and population modeling to predict the response of oyster populations along an estuarine gradient in response to extreme freshwater input due to storms. Models predicted a ten-year recovery time for those upbay populations exposed to low salinities for extended periods of time.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Marbš and Duarte, Global Change Biology (2010), Mediterranean warming triggers seagrass (Posidonia oceanica) shoot mortality.",1,Diana,Empirical,Yes,Spain,Mediterranean,Recovery,Yes,HabitatFormingSpp,,,6-10 yrs,Temperature,Temperature,1-4 weeks (<1 month),,,2002-2006,2002,2006,1-5 yrs,"shallow water depths, increased recruitment after warming",,Physical setting,Additional global climatic stressors,,"There was a clear relationship between increased warming and increased seagrass shoot mortality rates. Although recovery was seen for shallower depths (deeper depths did not see recovery after extreme high temperature events), there was a significant decrease of net shoot population growth rates with increasing accumulated temperature exposure and depth. The seagrass are affected by both temperatures above a certain threshold value and increased duration of high temperatures during the growing season.",Global stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Hine et al. 1987 J. Sed. Petrol.,1,Jennifer,Empirical,Yes,USA,Gulf of Mexico,Recovery,No,HabitatFormingSpp,,No,decades (21-100 yrs),non climatic (population explosions),non climatic (population explosions),,,,,,,,,,,,,Documents complete loss of seagrass beds and hypothesizes that was due to sea urching grazing and not storms or water quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Satyaraya, Marine Ecology Progress Series, 2011 Long-term mangrove forest development in Sri Lanka: early predictions evaluated against outcomes usingVHR remote sensing and VHR ground-truth data",1,Jennifer,Empirical,Yes,Sri Lanka,Indian Ocean,Resistance,Yes,HabitatFormingSpp,,No,months (<1 yr),non climatic (coastal development),non climatic (coastal development),,,,Ongoing,,,,,Genetic diversity/adaptation,,,,"Test predictions from former studies using high resolution satellite images.  Finds mangroves intact, but different spp composition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Dahdouh-Guebas et al., How effective were mangroves as a defence against the recent tsumi? Current Biology, 2005",1,Paul,Empirical,Yes,Sri Lanka,Indian,Resistance,Yes,HabitatFormingSpp,,,1-5 yrs,Storms,Storms,hours-days (<1 week),Nutrient input/Pollution/Sedimentation,hours-days (<1 week),2004,,,,"Lack of Eutrophication, which leads to ""cryptic ecological degradation"" in mangrove systems",Other,,Additional local anthropogenic stressors,,"Following the 2004 Indian Ocean Tsumi, Areas of coastal development and coastal eutrophication suffered the largest loss of life and largest destruction of mangrove forests. Areas where mangrove forests were damaged less and thus provided greater buffering from tsumi, were areas of lower eutrophication and less ""cryptic degradation""",Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,Dahdouh-Guebas.etal.2005,1,Robin,Empirical,Yes,Sri Lanka,,Resistance,Context-Dependent,HabitatFormingSpp,,No,months (<1 yr),Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,hours-days (<1 week),,,12/26/04,2004,2004,Ongoing,Presence of mangrove forest,Adequate remaining biogenic habitat,,Additional local anthropogenic stressors,,This study used semi-quantitative means to assess the resistance of tsunami damage provided by mangrove forests,Local stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Ford.Bushek.2014,1,Robin,Empirical,Yes,United States,Delaware Bay,Resistance,Yes,HabitatFormingSpp,,No,decades (21-100 yrs),non climatic (salinity),non climatic (salinity),decades (21-100 yrs),Disease,decades (21-100 yrs),"3 years of high mortality in 1957-1959; 30 years of disease prevalence; then another high mortality event in the mid 1980s; followed by much greater resistance. If I had to put one number to it, I would say 40 years",1957,1990,decades (21-100 yrs),"Two high mortality events (30 years apart) apparently selected for resistant oyster genotypes. The high mortality events were correlated with reduced water flow from the Delaware river (and thus higher salinity). The parasite is susceptible to low salinity, and the second mortality event occurred in the upper bay region, which typically has a lower salinity _ but not during the second event (due to reduced Delaware flow).",Genetic diversity/adaptation,Physical setting,Other,,"Widespread mortality events may select for resistant genotypes that contribute to the majority of offspring, and thus confer resistance to the population as a whole. In contrast, localized mortality events may confer little resilience to the •metapopulationê if larvae from •´veê subpopulations greatly outnumber larvae from the resistant subpopulation. Environmental variability is a potential driver of localized mortality events, due to the physical requirements of the pathogen. Therefore, in the short-term, subpopulations offer the potential for recovery of the entire population through the supply of susceptible larvae. But in the long-term, these subpopulations are reducing the resistance of the entire population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Silliman et al. 2005 Drought, Sils, and Large-Scale Die-Off of Southern U.S. Salt Marshes. Science 16 December 2005: Vol. 310 no. 5755 pp. 1803-1806 DOI: 10.1126/science.1118229",1,Jo,Empirical,Yes,United States,Gulf of Mexico & Atlantic Ocean,Resistance,Context-Dependent,HabitatFormingSpp,,,1-5 yrs,>2 stressors,>2 stressors,1-5 yrs,Population explosions/extinctions,,1999 to 2001,1999,2001,Multiple scales,Low initial snail densities before onset of drought or grazer front.,Beneficial species interactions,,Other,,Paper focused on factors that increased severity of ruway snail grazing rather than resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Day et al.,Vegetation death and rapid loss of surface elevation in two contrasting Mississippi delta salt marshes: The role of sedimentation, autocompaction and sea-level rise. Ecological Engineering 2011",1,Jo,Empirical,Yes,United States,Gulf of Mexico,Resistance,No,HabitatFormingSpp,,,11-20 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,decades (21-100 yrs),,,Ongoing. Data used 1991-1993,,,,"Higher riverine sediment input, high starting elevation of the marsh, high sediment retention rate",Physical setting,Conservation and magement measures,"Low elevation (high waterlogging duration prevents sediment inccorporation into the soil), low riverine input",,This study is related to Kirwan et al. (2010). Observatiol/ correlatiol data was used.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Carlson et al. 2010 Hydrobiologia,1,Kristy,Empirical,Yes,USA,Atlantic (Caribbean and Gulf of Mexico),Resistance,Context-Dependent,HabitatFormingSpp,,No,1-5 yrs,Storms,Storms,hours-days (<1 week),,,2004-2005,2004,2005,,water quality,Physical setting,Physical setting,Additional chronic disturbances,,"This experiment mapped seagrass cover using aerial photographs in 2001, then repeated the mapping in 2006 after the 2004 and 200 seasons with heavy cyclone activity. The analyses indicate that the predominant causes of seagrass loss were lowered salinity, higher turbidity, and phytoplankton caused by storm discharge from rivers, while some seagrass beds resisted loss associated with cyclones.",Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Ehlers, MEPS, 2008",1,Kristy,Empirical,Yes,Germany,Baltic Sea,Resistance,Context-Dependent,HabitatFormingSpp,,No,months (<1 yr),Temperature,Temperature,months (<1 yr),,,2004,2004,2004,,genetic diversity,Genetic diversity/adaptation,,Other,,"This experimental study examined the effect of genetic diversity on seagrass resistance to temperature anomalies in mesocosm experiments. Some genotypes fared better than others (like a functional redundancy response), allowing the authors to conclude that diversity could improve resilience.",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Ham Qy et al. MEPS (2012),1,Kristy,Empirical,Yes,Netherlands,Atlantic (Wadden Sea),Resistance,Yes,HabitatFormingSpp,,No,1-4 weeks (<1 month),non climatic (nutrients),non climatic (nutrients),1-4 weeks (<1 month),,,N/A,,,,Shoots exposed to continuous disturbance fared better than those subjected to one sudden disturbance (burial),Physical setting,,Sudden pulsed disturbances,,"This is an experimental study that tested how different burial and erosion regimes affected survival and biomass, as well as acclimatory responses in ability to adjust rhizomes to the approrpriate depth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Dayton et al Ecol Mono 1999,1,Jennifer,Empirical,Yes,USA,Pacific,ResistanceAndRecovery,Context-Dependent,HabitatFormingSpp,,No,6-10 yrs,ENSO,ENSO,1-5 yrs,Storms,hours-days (<1 week),,1977,1999,,,Adequate remaining biogenic habitat,,Other,,Other = nutrients from La Nina.  Recovery in most cases except where La Nina followed by storms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
